id;naam;functie
1;Director District Fantastic;Toys Money Market Account
2;optimal;installation compressing multi-tasking
3;Rustic primary;local area network Web Garden
4;Licensed Granite Gloves;Handcrafted
5;Fundamental North Carolina Money Market Account;redundant
6;Rustic Concrete Shoes Games;Borders copy Response
7;Frozen solid state deliver;JBOD Sleek Concrete Hat transitional
8;Lodge invoice;zero tolerance Louisiana Indiana
9;web-readiness National;multi-tasking California Port
10;New York Metrics function;Cross-platform
